,statistischer_Bezirk_Name,statistischer_Bezirk_Nr,Stichtag,Indikator,Einheit,Wert
7310,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,112148
7311,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,54568
7312,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,57580
7313,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,107591
7314,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,4557
7315,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,14004
7316,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,38118
7317,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,19952
7318,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,18547
7319,Jena (gesamt),0,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,21527
7320,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,457
7321,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,234
7322,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,223
7323,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,455
7324,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,0
7325,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,61
7326,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,79
7327,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,105
7328,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,108
7329,Ammerbach Ort,11,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,104
7330,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,2790
7331,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,1386
7332,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,1404
7333,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,2713
7334,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,77
7335,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,319
7336,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,708
7337,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,553
7338,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,552
7339,Beutenberg / Winzerlaer Straße,12,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,658
7340,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,443
7341,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,213
7342,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,230
7343,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,441
7344,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,0
7345,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,76
7346,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,106
7347,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,107
7348,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,89
7349,Burgau Ort,21,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,65
7350,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,790
7351,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,396
7352,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,394
7353,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,785
7354,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,5
7355,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,84
7356,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,129
7357,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,163
7358,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,184
7359,Ringwiese Flur Burgau,22,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,230
7360,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,601
7361,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,302
7362,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,299
7363,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,593
7364,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,8
7365,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,82
7366,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,127
7367,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,118
7368,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,151
7369,Göschwitz,30,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,123
7370,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,5172
7371,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,2588
7372,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,2584
7373,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,4877
7374,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,295
7375,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,466
7376,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,2997
7377,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,821
7378,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,423
7379,Jena-Zentrum,41,2011-06-30,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,465
7380,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,9770
7381,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung männlich,Pers.,4822
7382,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung weiblich,Pers.,4948
7383,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung - Deutsche,Pers.,9431
7384,Jena-West,42,2011-06-30,Wohnberechtigte Bevölkerung - Ausländer,Pers.,339
